course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1200,4,3,0,166,36,-1,-1,-1,12,93,1,우리가본,미,수,2,52,페로비치,박재우,이도명,463.0,6,12,7,11,942,2,1,0,50,0,2,1,0,50,0,1,100.0,100.0,744,744,744,707,106,97,14,13,449,69,77,15,17,1276,168,133,13,10,252,40,33,15,13,750.44
1200,4,3,0,277,36,-1,-1,-1,-1,171,10,브라이트캣,미,수,2,51,이동하,하재흥,이중연,455.0,10,12,7,11,939,1,1,0,100,0,1,1,0,100,0,-1,-1,-1,-1,-1,-1,91,9,9,9,9,91,9,9,9,9,10005,903,967,9,9,322,33,29,10,9,758.12
1200,4,3,-2,-173,29,-1,126,-1,-1,65,11,흥룡,미,거,2,51,문정균,김대근,고광숙,464.0,-5,12,7,11,1009,1,1,0,100,0,1,1,0,100,0,1,100.0,100.0,743,743,743,5373,396,469,7,8,262,20,14,7,5,7309,691,749,9,10,275,42,33,15,12,751.32
1200,4,3,-5,-18,168,-1,179,-1,-1,12,12,그리핀,한,암,4,52,김정준,우창구,장수영,500.0,-3,12,7,11,1722,15,3,5,20,33,6,2,2,33,33,9,22.2,55.6,750,764,789,1190,70,77,5,6,100,5,4,5,4,2077,218,175,10,8,278,30,30,10,10,763.19
1200,4,3,0.5,-591,22,-1,-1,-1,243,12,2,별두,미,수,4,52,조인권,신삼영,최현우,498.0,-13,12,7,11,1646,11,1,1,9,9,6,1,1,16,16,3,0.0,33.3,747,771,784,2565,355,276,13,10,253,21,32,8,12,1179,120,110,10,9,211,19,30,9,14,762.3
1200,4,3,-3,-53,190,-1,-1,-1,67,-1,9,에코왕자,미,수,4,54,조성곤,브라이언,박동준,450.0,-10,12,7,11,1692,8,1,1,12,12,4,1,0,25,0,5,20.0,20.0,745,755,770,4606,709,609,15,13,430,53,40,12,9,73,13,12,17,16,73,13,12,17,16,757.26
1200,4,3,1,126,63,-1,-1,-1,120,48,4,골드뮤직,한,수,3,52,이혁,곽영효,이미경,525.0,8,12,7,11,1299,8,3,1,37,12,8,3,1,37,12,3,0.0,33.3,751,754,757,1923,135,141,7,7,520,36,39,6,7,3882,438,394,11,10,132,16,12,12,9,752.95
1200,4,3,-2.5,200,50,-1,-1,-1,141,18,5,프루갈게임,미,거,3,51,박병윤,박천서,박흥길,479.0,10,12,7,11,1353,5,1,1,20,20,5,1,1,20,20,3,33.3,66.7,753,777,815,1637,100,131,6,8,242,17,13,7,5,3361,346,327,10,9,212,22,19,10,8,761.3
1200,4,3,1,-143,42,-1,-1,-1,138,-1,6,화이트원,미,암,3,52,문세영,김양선,이재상,466.0,-6,12,7,11,1376,10,2,0,20,0,7,1,0,14,0,4,50.0,50.0,748,756,770,6538,1325,991,20,15,495,110,74,22,14,8805,894,897,10,10,239,22,29,9,12,751.95
1200,4,3,0.5,-104,29,-1,-1,-1,26,99,7,파워비슬,일,거,3,56,이현종,지용훈,정수남,436.0,-3,12,7,11,1331,10,2,1,20,10,9,2,1,22,11,4,50.0,75.0,743,748,759,462,68,43,14,9,340,53,33,15,9,8890,770,823,8,9,290,21,29,7,10,748.44
1200,4,3,0,263,57,-1,213,-1,12,10,8,시대소망,미,수,3,51,지하주,임봉춘,박정웅,522.0,15,12,7,11,1336,9,1,0,11,0,7,1,0,14,0,1,0.0,0.0,778,778,778,3174,255,268,8,8,58,2,3,3,5,3651,276,299,7,8,313,22,37,7,11,756.71
1200,4,3,-1.0,85,35,-1,-1,-1,103,40,3,비바트리니티,미,거,3,53.5,김철호,최봉주,김병수,460.0,3,12,7,11,1360,7,2,0,28,0,6,2,0,33,0,3,0.0,0.0,753,763,782,1528,120,112,7,7,198,14,18,7,9,1727,146,141,8,8,207,22,13,10,6,756.09
