course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1200,5,4,0,142,28,105,-1,-1,-1,-1,1,4,0,3,52,477.0,4,12,7,11,1353,4,0,1,0,25,4,0,1,0,25,2,0.0,0.0,782,790,799,2732,205,216,7,7,444,39,40,8,9,2254,212,206,9,9,174,12,15,6,8
1200,5,4,1.5,148,27,-1,-1,-1,79,34,10,0,0,3,53.5,472.0,4,12,7,11,1318,8,2,3,25,37,8,2,3,25,37,2,100.0,100.0,750,755,761,2497,289,290,11,11,236,38,40,16,16,1084,107,121,9,11,191,23,23,12,12
1200,5,4,-0.5,71,28,-1,-1,-1,94,-1,11,4,0,2,52,489.0,2,12,7,11,995,2,0,0,0,0,2,0,0,0,0,1,0.0,0.0,788,788,788,2865,219,221,7,7,433,33,40,7,9,1281,194,110,15,8,292,33,24,11,8
1200,5,4,0,-297,27,-1,-1,-1,93,20,12,4,1,2,52,520.0,-8,12,7,11,1022,4,0,0,0,0,4,0,0,0,0,2,0.0,0.0,771,776,782,1528,120,112,7,7,198,14,18,7,9,2188,144,178,6,8,158,10,9,6,5
1200,5,4,1.0,-30,34,-1,-1,-1,15,80,2,0,2,4,55.5,482.0,-1,12,7,11,1664,21,2,5,9,23,10,0,0,0,0,10,0.0,10.0,745,759,784,661,31,37,4,5,245,14,14,5,5,675,86,77,12,11,262,40,40,15,15
1200,5,4,0.5,142,49,-1,-1,-1,115,-1,3,4,1,4,53,493.0,7,12,7,11,1697,19,0,1,0,5,7,0,1,0,14,8,0.0,0.0,758,765,784,328,19,23,5,7,279,17,22,6,7,3651,276,299,7,8,313,22,37,7,11
1200,5,4,-3,111,27,-1,-1,-1,47,71,4,0,0,2,52,475.0,3,12,7,11,964,2,2,0,100,0,2,2,0,100,0,-1,-1,-1,-1,-1,-1,2565,355,276,13,10,253,21,32,8,12,1281,194,110,15,8,292,33,24,11,8
1200,5,4,-2.5,0,28,-1,-1,-1,91,15,5,0,1,3,54,506.0,0,12,7,11,1352,12,2,3,16,25,10,2,2,20,20,7,14.3,42.9,749,762,780,877,103,79,11,9,426,47,44,11,10,3825,348,353,9,9,182,13,18,7,9
1200,5,4,-1,71,56,-1,-1,-1,-1,130,6,4,2,2,52,483.0,4,12,7,11,938,2,0,0,0,0,2,0,0,0,0,1,0.0,0.0,778,778,778,1815,75,112,4,6,83,2,1,2,1,10535,807,930,7,8,336,21,25,6,7
1200,5,4,0,125,56,-1,-1,-1,13,80,7,0,0,4,52,490.0,7,12,7,11,1676,17,2,2,11,11,10,2,0,20,0,9,0.0,22.2,754,771,801,1190,70,77,5,6,100,5,4,5,4,1276,168,133,13,10,252,40,33,15,13
1200,5,4,0,411,34,-1,-1,-1,139,-1,8,4,1,3,51,499.0,14,12,7,11,1370,11,0,0,0,0,8,0,0,0,0,5,0.0,0.0,779,787,804,78,4,1,5,1,78,4,1,5,1,2254,212,206,9,9,174,12,15,6,8
1200,5,4,0.5,250,28,94,-1,-1,18,13,9,4,1,2,52,464.0,7,12,7,11,984,4,0,0,0,0,4,0,0,0,0,4,0.0,0.0,759,770,783,4606,709,609,15,13,430,53,40,12,9,6714,534,581,7,8,145,10,9,6,6
