course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1400,4,1,-2,204,49,-1,-1,-1,-1,101,1,0,1,6,52,511.0,10,12,10,11,2408,36,9,8,25,22,8,0,2,0,25,6,0.0,33.3,864,872,880,1637,100,131,6,8,242,17,13,7,5,2254,212,206,9,9,174,12,15,6,8
1400,4,1,-5,23,43,-1,-1,-1,112,11,10,4,2,5,52,525.0,1,12,10,11,2117,24,5,4,20,16,7,0,1,0,14,6,16.7,33.3,877,883,888,4606,709,609,15,13,430,53,40,12,9,2183,199,187,9,8,218,16,12,7,5
1400,4,1,-3.5,0,35,-1,-1,-1,42,86,11,0,1,5,54.5,511.0,0,12,10,11,2114,27,11,6,40,22,7,1,2,14,28,11,63.6,81.8,856,868,884,707,106,97,14,13,449,69,77,15,17,675,86,77,12,11,262,40,40,15,15
1400,4,1,0,206,29,-1,-1,-1,167,15,12,7,1,4,51,522.0,6,12,10,11,1497,17,3,5,17,29,8,2,3,25,37,1,0.0,100.0,869,869,869,877,103,79,11,9,426,47,44,11,10,7681,720,728,9,9,247,32,30,12,12
1400,4,1,-3.5,285,35,-1,-1,-1,140,10,2,4,1,6,54,494.0,10,12,10,11,2422,35,6,6,17,17,9,3,2,33,22,14,14.3,42.9,857,875,912,1923,135,141,7,7,520,36,39,6,7,3893,269,331,6,8,258,19,26,7,10
1400,4,1,1,241,29,-1,-1,-1,-1,108,9,0,2,4,52,512.0,7,12,10,11,1682,18,6,3,33,16,9,2,0,22,0,4,0.0,50.0,853,871,880,1992,169,183,8,9,166,22,13,13,7,6171,742,695,12,11,353,33,34,9,9
1400,4,1,0.5,34,29,15,-1,-1,141,-1,4,4,2,5,55.5,443.0,1,12,10,11,2069,28,7,4,25,14,10,3,0,30,0,6,33.3,33.3,868,880,892,420,42,39,10,9,313,34,35,10,11,1727,146,141,8,8,207,22,13,10,6
1400,4,1,-3,-207,29,-1,-1,-1,62,73,5,4,2,6,57,444.0,-6,12,10,11,2476,32,8,10,25,31,7,2,1,28,14,7,28.6,57.1,841,863,896,328,19,23,5,7,279,17,22,6,7,8890,770,823,8,9,290,21,29,7,10
1400,4,1,-1,200,35,-1,-1,-1,118,23,6,0,1,5,52,490.0,7,12,10,11,2072,27,10,3,37,11,7,1,0,14,0,6,50.0,50.0,859,876,896,78,4,1,5,1,78,4,1,5,1,3825,348,353,9,9,182,13,18,7,9
1400,4,1,-2.5,171,35,-1,122,-1,-1,33,7,0,2,6,51.5,507.0,6,12,10,11,2412,20,7,5,35,25,10,3,0,30,0,7,42.9,57.1,850,864,873,1528,120,112,7,7,198,14,18,7,9,3361,346,327,10,9,212,22,19,10,8
1400,4,1,-3.5,163,98,-1,-1,-1,74,36,8,0,1,8,52,469.0,16,12,10,11,3154,42,11,7,26,16,3,0,0,0,0,5,20.0,20.0,877,902,925,3174,255,268,8,8,58,2,3,3,5,989,85,103,8,10,285,24,23,8,8
1400,4,1,-3.0,0,35,-1,-1,-1,68,49,3,4,2,6,54.5,521.0,0,12,10,11,2396,34,6,4,17,11,9,1,0,11,0,7,28.6,28.6,851,871,908,2865,219,221,7,7,433,33,40,7,9,2444,223,185,9,7,235,25,10,10,4
