course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1400,4,2,0.5,114,35,-1,-1,-1,200,-1,1,0,2,4,56.5,536.0,4,12,11,11,1685,16,5,4,31,25,8,2,3,25,37,7,42.9,57.1,862,876,888,6538,1325,991,20,15,495,110,74,22,14,675,86,77,12,11,262,40,40,15,15
1400,4,2,0,0,28,-1,-1,-1,115,26,10,0,0,4,52,505.0,0,12,11,11,1663,21,5,4,23,19,10,1,0,10,0,7,14.3,28.6,866,883,898,2497,289,290,11,11,236,38,40,16,16,3241,298,337,9,10,314,34,24,10,7
1400,4,2,-1.5,214,28,-1,-1,-1,139,-1,11,0,1,4,53.5,507.0,6,12,11,11,1710,18,5,1,27,5,7,2,0,28,0,5,40.0,40.0,875,879,887,877,103,79,11,9,426,47,44,11,10,1179,120,110,10,9,211,19,30,9,14
1400,4,2,-1,-242,29,-1,151,-1,-1,-1,12,0,2,5,54,455.0,-7,12,11,11,2082,29,5,5,17,17,10,0,0,0,0,7,0.0,28.6,874,881,888,5023,629,628,12,12,270,35,42,12,15,3912,339,360,8,9,276,18,21,6,7
1400,4,2,-0.5,-59,85,-1,-1,-1,191,-1,2,4,1,4,57,469.0,-5,12,11,11,1718,14,3,0,21,0,7,1,0,14,0,3,66.7,66.7,873,878,884,2565,355,276,13,10,253,21,32,8,12,2444,223,185,9,7,235,25,10,10,4
1400,4,2,-1.5,-250,28,-1,-1,-1,171,20,3,0,1,3,51,468.0,-7,12,11,11,1377,11,5,1,45,9,7,3,1,42,14,6,33.3,50.0,867,881,892,462,68,43,14,9,340,53,33,15,9,7681,720,728,9,9,247,32,30,12,12
1400,4,2,-0.5,102,49,-1,36,-1,-1,78,4,4,1,3,54.5,486.0,5,12,11,11,1305,12,2,3,16,25,11,2,3,18,27,5,20.0,40.0,863,885,910,707,106,97,14,13,449,69,77,15,17,3241,298,337,9,10,314,34,24,10,7
1400,4,2,0,83,36,-1,-1,-1,135,-1,5,4,0,4,52,472.0,3,12,11,11,1749,17,2,5,11,29,5,0,0,0,0,6,0.0,33.3,866,878,886,2732,205,216,7,7,444,39,40,8,9,7681,720,728,9,9,247,32,30,12,12
1400,4,2,0,-215,28,-1,132,-1,20,19,6,0,1,4,54,482.0,-6,12,11,11,1674,23,3,6,13,26,10,1,2,10,20,3,33.3,66.7,879,887,894,1430,75,113,5,7,588,35,41,5,6,686,105,76,15,11,185,22,16,11,8
1400,4,2,-4.0,255,43,-1,-1,-1,-1,125,7,4,2,4,53.5,481.0,11,12,11,11,1708,14,3,1,21,7,8,2,1,25,12,4,25.0,25.0,854,880,910,91,9,9,9,9,91,9,9,9,9,5374,722,583,13,10,284,40,21,14,7
1400,4,2,-1,-96,42,-1,-1,-1,-1,122,8,0,1,4,51,433.0,-4,12,11,11,1734,14,5,2,35,14,8,4,0,50,0,1,100.0,100.0,873,873,873,661,31,37,4,5,245,14,14,5,5,2188,144,178,6,8,158,10,9,6,5
1400,4,2,1,260,50,-1,149,-1,-1,24,9,0,1,3,55,508.0,13,12,11,11,1328,13,5,3,38,23,10,5,2,50,20,3,33.3,66.7,872,879,887,4606,709,609,15,13,430,53,40,12,9,3454,301,310,8,8,168,33,21,19,12
