course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1300,6,4,1,-59,34,-1,-1,-1,94,9,10,0,0,3,55,437.0,-2,12,8,11,1376,13,4,0,30,0,12,3,0,25,0,5,40.0,40.0,810,824,832,1923,135,141,7,7,520,36,39,6,7,3893,269,331,6,8,258,19,26,7,10
1300,6,4,-0.5,216,83,-1,-1,-1,22,109,1,0,0,3,51.5,498.0,18,12,8,11,1299,8,2,1,25,12,8,2,1,25,12,2,0.0,0.0,832,835,838,877,103,79,11,9,426,47,44,11,10,7681,720,728,9,9,247,32,30,12,12
1300,6,4,-0.5,71,28,39,-1,-1,44,42,9,4,1,2,52.5,483.0,2,12,8,11,999,1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,2865,219,221,7,7,433,33,40,7,9,1281,194,110,15,8,292,33,24,11,8
1300,6,4,2.5,142,35,-1,44,-1,67,12,8,0,0,3,54.5,447.0,5,12,8,11,1306,8,3,1,37,12,8,3,1,37,12,1,0.0,0.0,829,829,829,4606,709,609,15,13,430,53,40,12,9,3454,301,310,8,8,168,33,21,19,12
1300,6,4,-0.5,95,21,-1,-1,-1,-1,144,7,0,2,3,54,507.0,2,12,8,11,1352,5,2,1,40,20,5,2,1,40,20,-1,-1,-1,-1,-1,-1,2565,355,276,13,10,253,21,32,8,12,3882,438,394,11,10,132,16,12,12,9
1300,6,4,0,222,27,-1,-1,-1,-1,135,3,0,1,5,53,455.0,6,12,8,11,2096,32,2,1,6,3,11,1,0,9,0,5,0.0,0.0,814,821,830,91,9,9,9,9,91,9,9,9,9,10005,903,967,9,9,322,33,29,10,9
1300,6,4,0.5,0,42,-1,-1,-1,21,57,5,4,1,3,55.5,488.0,0,12,8,11,1320,10,0,1,0,10,8,0,1,0,12,1,0.0,0.0,811,811,811,707,106,97,14,13,449,69,77,15,17,1179,120,110,10,9,211,19,30,9,14
1300,6,4,3.5,296,27,-1,-1,-1,-1,147,4,4,1,3,55.5,542.0,8,12,8,11,1386,16,0,2,0,12,12,0,2,0,16,2,0.0,0.0,807,821,835,1528,120,112,7,7,198,14,18,7,9,10535,807,930,7,8,336,21,25,6,7
1300,6,4,1,85,35,-1,113,-1,18,-1,11,4,1,2,53,507.0,3,12,8,11,983,2,0,0,0,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,2534,187,221,7,8,155,19,22,12,14,2077,218,175,10,8,278,30,30,10,10
1300,6,4,0.5,-30,34,-1,127,-1,-1,14,12,4,1,3,55.5,487.0,-1,12,8,11,1344,14,0,2,0,14,12,0,2,0,16,3,0.0,33.3,809,827,843,1430,75,113,5,7,588,35,41,5,6,8049,693,705,8,8,155,2,8,1,5
1300,6,4,1,37,27,-1,-1,-1,86,12,2,4,2,3,54,489.0,1,12,8,11,1400,8,0,0,0,0,8,0,0,0,0,2,0.0,0.0,807,814,821,661,31,37,4,5,245,14,14,5,5,2188,144,178,6,8,158,10,9,6,5
1300,6,4,0.5,-1077,13,-1,-1,-1,125,-1,6,0,1,3,53,480.0,-14,12,8,11,1301,9,2,2,22,22,9,2,2,22,22,-1,-1,-1,-1,-1,-1,5373,396,469,7,8,262,20,14,7,5,2254,212,206,9,9,174,12,15,6,8
