course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1300,4,6,1,37,265,-1,-1,-1,101,-1,2,0,1,3,57,481.0,10,12,3,11,1295,2,0,0,0,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,1363,50,61,3,4,57,0,0,0,0,8805,894,897,10,10,239,22,29,9,12
1300,4,6,-4.5,-206,34,-1,-1,-1,42,55,12,0,1,3,53,445.0,-7,12,3,11,1317,5,0,1,0,20,5,0,1,0,20,3,0.0,33.3,842,847,851,77,1,5,1,6,77,1,5,1,6,1281,194,110,15,8,292,33,24,11,8
1300,4,6,1,342,35,-1,98,-1,-1,45,11,0,2,3,57,500.0,12,12,3,11,1345,8,0,0,0,0,6,0,0,0,0,3,0.0,0.0,844,850,862,7474,518,601,6,8,281,7,18,2,6,642,49,42,7,6,177,17,6,9,3
1300,4,6,0,75,119,-1,-1,-1,95,-1,10,0,0,3,55,481.0,9,12,3,11,1336,10,0,1,0,10,7,0,1,0,14,2,0.0,0.0,847,847,847,420,42,39,10,9,313,34,35,10,11,3220,239,274,7,8,307,24,28,7,9
1300,4,6,1.5,95,21,-1,-1,-1,13,83,1,0,1,2,55.5,470.0,2,12,3,11,955,2,0,0,0,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,1003,49,44,4,4,107,5,3,4,2,4266,277,365,6,8,169,7,19,4,11
1300,4,6,0,-143,35,-1,-1,-1,90,41,3,0,1,3,57,477.0,-5,12,3,11,1326,8,0,1,0,12,7,0,1,0,14,2,0.0,50.0,844,845,846,1430,75,113,5,7,588,35,41,5,6,4079,303,318,7,7,173,10,14,5,8
1300,4,6,0,-465,28,-1,-1,-1,107,13,9,0,0,3,55,435.0,-13,12,3,11,1321,4,0,0,0,0,4,0,0,0,0,2,0.0,0.0,860,863,866,2865,219,221,7,7,433,33,40,7,9,1727,146,141,8,8,207,22,13,10,6
1300,4,6,0.0,-229,35,-1,8,-1,46,21,8,0,0,2,53.5,397.0,-8,12,3,11,992,3,0,0,0,0,3,0,0,0,0,1,0.0,0.0,836,836,836,3080,209,240,6,7,103,3,2,2,1,3241,298,337,9,10,314,34,24,10,7
1300,4,6,-0.5,-239,21,-1,-1,-1,31,56,7,0,0,4,55,473.0,-5,12,3,11,1689,31,0,1,0,3,17,0,1,0,5,17,0.0,5.9,818,849,875,2565,355,276,13,10,253,21,32,8,12,2859,229,246,8,8,250,17,31,6,12
1300,4,6,3,-11,98,-1,-1,-1,-1,133,6,0,0,3,55,438.0,-1,12,3,11,1396,7,0,0,0,0,7,0,0,0,0,3,0.0,0.0,849,858,864,4145,310,307,7,7,62,3,3,4,4,3443,336,289,9,8,161,6,10,3,6
1300,4,6,-3,-122,41,-1,-1,-1,140,-1,5,0,0,3,52,419.0,-5,12,3,11,1294,6,0,1,0,16,6,0,1,0,16,2,0.0,50.0,844,852,861,328,19,23,5,7,279,17,22,6,7,1179,120,110,10,9,211,19,30,9,14
1300,4,6,0,314,35,-1,142,-1,-1,16,4,0,0,3,55,427.0,11,12,3,11,1320,7,0,0,0,0,7,0,0,0,0,3,0.0,0.0,850,853,858,1190,70,77,5,6,100,5,4,5,4,2221,230,201,10,9,158,14,16,8,10
